student_id,name,gender,age,subject,exam_score,exam_date,region,grade_level,school
9532,Michelle Avila,Female,19,English,43.43,2025-01-13,Dunnstad,Year 3,"Floyd, Fuentes and Delgado"
7224,Jay Wang,Male,24,English,63.45,2025-08-01,Nolanfurt,Year 2,Williams-Obrien
7465,Matthew Jones,Male,23,Math,65.46,2025-06-13,New Frankbury,Year 2,"Ross, Stevenson and Scott"
6321,Steven Houston,Male,22,Science,75.43,2025-01-19,West Jason,Year 2,"Perez, Kane and Cohen"
2556,John Mason,Male,21,Math,51.41,2025-08-06,Port Morganberg,Year 1,"Cole, Miller and Avila"
9925,Patrick Johnson,Male,18,English,85.15,2025-04-19,Stephenhaven,Year 3,"Little, Robinson and Scott"
1368,Paul Gross,Female,21,History,74.35,2025-04-14,Billchester,Year 3,"Huerta, Casey and Thompson"
2010,Mary Malone,Male,19,Computer,83.65,2025-05-17,New Robin,Year 4,Horn-Sanders
7386,Michael Hamilton,Male,22,Computer,41.1,2024-12-21,Josephborough,Year 2,Bradley-Duran
1709,Tammy Gonzalez,Male,23,Math,50.81,2024-10-31,South Roberta,Year 3,"Simon, Boyer and Martin"
6014,Lee Clark,Male,19,Math,97.82,2025-03-24,Rowlandland,Year 4,Joseph-Garza
7066,Donna Long,Female,19,English,80.55,2025-05-06,New Teresa,Year 2,Brown-Mann
2045,Gregory Wilson,Male,21,English,75.16,2025-04-10,Elizabethport,Year 4,Anderson Group
4067,Kimberly Wilson,Female,19,Computer,53.41,2025-09-05,East Karamouth,Year 3,Wheeler-Martin
7605,Brady Elliott,Male,21,Science,98.9,2025-02-01,Booneburgh,Year 1,Ramirez Group
6936,Joel Pitts,Male,24,English,68.97,2025-02-23,Chavezborough,Year 2,Vargas Inc
8203,Natalie Jones,Female,20,History,55.5,2025-04-10,Stewartborough,Year 1,Harris LLC
9747,Casey Bauer,Female,24,Science,68.1,2025-05-13,Wesleyville,Year 2,Duffy Group
